nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
        46  1.339383240E-01  1.823472595E-01 -1.641807251E-01 -1.332557676E-01  1.588813813E+00  1.239055536E+00  2.021356820E+00  3.429854956E+01 -1.641807251E-01  1.823472595E-01  1.339383240E-01 
        47  1.346589050E-01  1.833033447E-01 -1.641797180E-01 -3.212369941E-02  1.637500577E+00  1.778036254E+00  2.418011927E+00  6.054887157E+01 -1.641797180E-01  1.833033447E-01  1.346589050E-01 
        48  1.349361267E-01  1.827012024E-01 -1.641794586E-01  6.408058688E-02  9.508930308E-01  1.169484927E+00  1.513129667E+00  5.729861724E+01 -1.641794586E-01  1.827012024E-01  1.349361267E-01 
        49  1.365604553E-01  1.844005432E-01 -1.641774445E-01  1.391354791E-02  2.078651039E+00  3.284004800E+00  3.890288818E+00  3.153662565E+01 -1.641774445E-01  1.844005432E-01  1.365604553E-01 
        50  1.348194580E-01  1.834683685E-01 -1.641761475E-01  6.096669742E-02  2.037352048E+00  2.281928348E+00  3.062297218E+00  6.285968167E+01 -1.641761475E-01  1.834683685E-01  1.348194580E-01 
        51  1.347533875E-01  1.824999847E-01 -1.641753387E-01  4.226841760E-02  4.288029094E-01  6.557244602E-01  7.928573933E-01  5.274752618E+01 -1.641753387E-01  1.824999847E-01  1.347533875E-01 
        52  1.364077759E-01  1.842134247E-01 -1.641746521E-01  9.792137579E-02  2.333268085E+00  3.680567469E+00  4.359947762E+00  3.169077165E+01 -1.641746521E-01  1.842134247E-01  1.364077759E-01 
        53  1.380330200E-01  1.856832886E-01 -1.641744537E-01  1.441892165E-01  2.992267552E+00  4.208974186E+00  5.178624137E+00  5.454226755E+00 -1.641744537E-01  1.856832886E-01  1.380330200E-01 
        54  1.341714630E-01  1.821372375E-01 -1.641742096E-01 -1.300495557E-01  7.790567226E-01  6.653501825E-01  1.033894684E+00  3.763839401E+01 -1.641742096E-01  1.821372375E-01  1.341714630E-01 
        55  1.381920319E-01  1.858562775E-01 -1.641712646E-01  3.925524848E-02  2.404571388E+00  3.418183498E+00  4.187037920E+00  2.772713304E+00 -1.641712646E-01  1.858562775E-01  1.381920319E-01 
        56  1.342938843E-01  1.829404144E-01 -1.641692352E-01 -9.390025305E-02  1.302036350E+00  1.289332669E+00  1.837006588E+00  5.167287570E+01 -1.641692352E-01  1.829404144E-01  1.342938843E-01 
        57  1.367697296E-01  1.843944855E-01 -1.641692810E-01  1.630221644E-03  1.701660893E+00  2.668895986E+00  3.168606753E+00  3.183427624E+01 -1.641692810E-01  1.843944855E-01  1.367697296E-01 
        58  1.374144897E-01  1.854968872E-01 -1.641678009E-01  2.279618752E-01  3.074336009E+00  3.940576658E+00  5.012839092E+00  2.702427310E+01 -1.641678009E-01  1.854968872E-01  1.374144897E-01 
        59  1.383805389E-01  1.860613708E-01 -1.641674805E-01  2.392671095E-02  2.200885592E+00  2.980740124E+00  3.712236216E+00  3.213478860E+00 -1.641674805E-01  1.860613708E-01  1.383805389E-01 
        60  1.357325134E-01  1.842118225E-01 -1.641672211E-01  6.583953192E-02  3.204027847E+00  4.597803855E+00  5.612350624E+00  4.782719292E+01 -1.641672211E-01  1.842118225E-01  1.357325134E-01 
        61  1.385473633E-01  1.862332306E-01 -1.641654816E-01 -6.172837066E-03  1.892622649E+00  2.264724632E+00  2.958677432E+00  4.911079510E+00 -1.641654816E-01  1.862332306E-01  1.385473633E-01 
        62  1.360521545E-01  1.838287659E-01 -1.641635437E-01  4.768963710E-01  2.649320332E+00  4.551761884E+00  5.291076950E+00  3.898163358E+01 -1.641635437E-01  1.838287659E-01  1.360521545E-01 
        63  1.345803986E-01  1.823334351E-01 -1.641631165E-01  1.843299703E-02  2.419713679E-01  4.457631553E-01  5.209886337E-01  4.731703381E+01 -1.641631165E-01  1.823334351E-01  1.345803986E-01 
        64  1.356938324E-01  1.834537506E-01 -1.641631622E-01  5.363593138E-01  2.611117691E+00  4.141984079E+00  4.929885672E+00  4.988344357E+01 -1.641631622E-01  1.834537506E-01  1.356938324E-01 
        65  1.387388916E-01  1.864305115E-01 -1.641631927E-01 -1.141140721E-02  1.343355624E+00  1.605466515E+00  2.100477401E+00  1.027859764E+01 -1.641631927E-01  1.864305115E-01  1.387388916E-01 
        66  1.378426208E-01  1.856823273E-01 -1.641621857E-01  2.200684085E-01  3.469590727E+00  4.452385061E+00  5.651437701E+00  9.471474414E+00 -1.641621857E-01  1.856823273E-01  1.378426208E-01 
        67  1.389628448E-01  1.864172516E-01 -1.641608582E-01 -7.407199898E-03  8.744474662E-01  1.531342965E+00  1.770083069E+00  1.334632874E+01 -1.641608582E-01  1.864172516E-01  1.389628448E-01 
        68  1.395072327E-01  1.867539673E-01 -1.641597595E-01  1.374567360E-01 -1.362399167E-01  1.267966961E+00  1.308288964E+00  2.479972007E+01 -1.641597595E-01  1.867539673E-01  1.395072327E-01 
        69  1.389196472E-01  1.866107788E-01 -1.641595764E-01 -3.520239405E-02  7.524054640E-01  1.275768574E+00  1.491297055E+00  1.604220570E+01 -1.641595764E-01  1.866107788E-01  1.389196472E-01 
        70  1.393333740E-01  1.865705566E-01 -1.641591797E-01  1.159709623E-01  1.389565461E-01  1.329836049E+00  1.356350742E+00  1.988630543E+01 -1.641591797E-01  1.865705566E-01  1.393333740E-01 
        71  1.391761017E-01  1.864046326E-01 -1.641586456E-01  9.271267193E-02  5.198113641E-01  1.482230252E+00  1.591552922E+00  1.505694790E+01 -1.641586456E-01  1.864046326E-01  1.391761017E-01 
        72  1.337502747E-01  1.821516418E-01 -1.641582336E-01 -2.295418381E-01  2.092476750E+00  2.028336033E+00  2.930379380E+00  2.630951275E+01 -1.641582336E-01  1.821516418E-01  1.337502747E-01 
